item_URI,short_ID,lccn,title,image_URL_large
http://www.loc.gov/item/97511671/,97511671,97511671,"Carnegie Library, Sheldon, Iowa",https://tile.loc.gov/storage-services/service/pnp/cph/3c10000/3c18000/3c18100/3c18157v.jpg#h=824&w=1024
http://www.loc.gov/item/2015647967/,2015647967,2015647967,"The People's Library set up by the Occupy Wall Street protest movement in Zuccotti Park, New York City",https://tile.loc.gov/storage-services/service/pnp/ppbd/00600/00600v.jpg#h=1024&w=765
http://www.loc.gov/item/2017702899/,2017702899,2017702899,"Parmly Billings Library (Western Heritage Center), angle 1, Montana Avenue, Billings, Montana",https://tile.loc.gov/storage-services/service/pnp/mrg/00700/00785v.jpg#h=697&w=1024
http://www.loc.gov/item/98508155/,98508155,98508155,For greater knowledge on more subjects use your library more often,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05100/3f05183v.jpg#h=1024&w=705
http://www.loc.gov/item/87694100/,87694100,87694100,"Libraries, Washington D.C.",https://tile.loc.gov/image-services/iiif/service:gmd:gmd385:g3851:g3851e:ct006252/full/pct:25/0/default.jpg#h=1205&w=1684
http://www.loc.gov/item/2017880767/,2017880767,2017880767,Historic library in the North Carolina Capitol in Raleigh,https://tile.loc.gov/image-services/iiif/service:pnp:highsm:43800:43863/full/pct:25/0/default.jpg#h=2117&w=2822
http://www.loc.gov/item/2008678216/,2008678216,2008678216,"The Library of Congress, Washington",https://tile.loc.gov/storage-services/service/pnp/ppmsca/18000/18016v.jpg#h=755&w=1024
http://www.loc.gov/item/2012630178/,2012630178,2012630178,"Handley Library, Winchester, Virginia",https://tile.loc.gov/image-services/iiif/service:pnp:highsm:20400:20497/full/pct:50/0/default.jpg#h=2395&w=2053
http://www.loc.gov/item/2017762724/,2017762724,2017762724,"Newspaper reading room of public library. Omaha, Nebraska",https://tile.loc.gov/storage-services/service/pnp/fsa/8b14000/8b14100/8b14169v.jpg#h=783&w=1024
http://www.loc.gov/item/96514755/,96514755,96514755,"[Carnegie library, (Taunton, Mass.). Elevation]",https://tile.loc.gov/storage-services/service/pnp/ppmsca/35500/35590v.jpg#h=642&w=1024
http://www.loc.gov/item/2017702902/,2017702902,2017702902,"Library, Dickason Street, Columbus, Wisconsin",https://tile.loc.gov/storage-services/service/pnp/mrg/00700/00788v.jpg#h=699&w=1024
http://www.loc.gov/item/2017685123/,2017685123,2017685123,"The Guernsey Branch Library, part of the Platte County library system, in Guernsey, a town in northeast Wyoming",https://tile.loc.gov/image-services/iiif/service:pnp:highsm:34600:34640/full/pct:25/0/default.jpg#h=1113&w=1602
http://www.loc.gov/item/2012630017/,2012630017,2012630017,"Noyes Library for Young Children, Kensington, Maryland",https://tile.loc.gov/image-services/iiif/service:pnp:highsm:20300:20336/full/pct:25/0/default.jpg#h=829&w=1540
