image,link,title
/static/portals/free-to-use/public-domain/libraries/libraries-1.jpg,/resource/cph.3f05183/,"For greater knowledge, on more subjects, use your library more often. Illinois WPA Arts Project, 1936-1941. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-2.jpg,/resource/highsm.20336/,"Noyes Library for Young Children. Kensington, Maryland. Photo by Carol M. Highsmith,  2011. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-3.jpg,/resource/fsa.8d24709/,"Bethune-Cookman College. Students in the library reading room, Daytona Beach, Florida. Gordon Parks, 1943. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-4.jpg,/resource/highsm.36052/,"Public library in Antonito,  Colorado, near the New Mexico border. Photo by Carol M. Highsmith, 2015. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-5.jpg,/resource/highsm.51772/,"Library and Innovation Center in New Castle, Delaware, defines itself as ""a community learning and resource hub."" Photo by Carol M. Highsmith, 2018. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-6.jpg,/resource/cph.3b43255/,"Silence. Lithograph by Mabel Dwight, 1939. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-7.jpg,/resource/highsm.20483/,"Patterson Park Branch of the Enoch Pratt Free Library System. Photo by Carol M. Highsmith, 2011. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-8.jpg,/resource/highsm.29207/,"The easily identifiable J. Erik Jonsson Central Library, Dallas, Texas. Photo by Carol M. Highsmith, 2014. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-9.jpg,/resource/fsa.8b32222/,"Public library in the southwestern section of Mississippi, in the piney woods. Photo by Dorothea Lange, 1937. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-10.jpg,/resource/highsm.64003/,"""Bookmobile"" bus belonging to the Perry County Public Library in Hazard, Kentucky. Photo by Carol M. Highsmith, 2020. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-11.jpg,/resource/ppmsca.15412/,"Creating the first fully developed children's department in 1899 is one of the historic milestones claimed by the Pittsburgh, Pennsylvania, Carnegie Library. Photo, 1900-1905. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-12.jpg,/resource/highsm.49335/,"Even a sculpted gila monster appears to be into reading near a Little Free Library in the Dunbar Spring neighborhood of Tucson, Arizona. Photo by Carol M. Highsmith, 2018. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-13.jpg,/resource/highsm.20497/,"Handley Library, Winchester, Virginia. Photo by Carol M. Highsmith, 2011. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-14.jpg,/resource/npcc.28724/,"Reading room for the blind, Library of Congress, Washington, DC. By National Photo Co., 1919 or 1920. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-15.jpg,/resource/ds.06560/,"Main public library building, Detroit, Michigan. Cass Gilbert, architect. Postcard by Albertype Co., 1921-1930. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-16.jpg,/resource/hhh.hi0135.photos,"Mother Marianne Library, Moloka'i Island, Kalaupapa, Kalawao County, Hawaii. Photo by Jack Boucher, 1991. Historic American Buildings Survey. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-17.jpg,/resource/cph.3f05168/,"Curb service, 10,000 current books, convenient, free, time saving : Chicago Public Library, Randolph St. corridor. Illinois WPA Art Project, 1936-1941. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-18.jpg,/resource/ppmsca.15375/,"Reading Room, Billings Memorial Library, University of Vermont, Burlington, Vermont. H.H. Richardson, architect. Photo, approx. 1890. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-19.jpg,/resource/highsm.53335/,"Library. Herbert Hoover Federal Building in Washington, D.C. Photo by Carol M. Highsmith, 2018. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-20.jpg,/resource/hhh.ks0072.photos/?sp=2,"Paola Free Library, Paola, Kansas. Photo by Dan Collins, 1984. Historic American Buildings Survey. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-21.jpg,/resource/highsm.34640/,"The Guernsey Branch Library, in Guernsey, Wyoming. Photo by Carol M. Highsmith, 2015. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-22.jpg,/resource/ppmsca.17588/,"Library of Congress when it was located in the U.S. Capitol. Copy of watercolor by William Bengough, 1897. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-23.jpg,/resource/ppmsca.18016/,"Library of Congress, Washington. By Detroit Publishing Co., 1902. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-24.jpg,/resource/hhh.me0057.photos/?sp=1,"Hubbard Free Library, Hallowell, Kennebec County, Maine. Copy of photo from approx. 1880. Historic American Buildings Survey. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-25.jpg,/resource/highsm.41101/,"Modernist stairway and bookstacks inside the Allen County Public Library, Fort Wayne, Indiana. Photo by Carol M. Highsmith, 2016. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-26.jpg,/resource/det.4a17925/,"Cossitt Library, Memphis, Tennessee. Photo by Detroit Publishing Co., 1906. Prints & Photographs Division"
/static/portals/free-to-use/public-domain/libraries/libraries-27.jpg,/resource/ppmsca.15426/,Main entrance. Boston Public Library. Massachusetts. 1895. Prints & Photographs Division
